year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2016,1,0.003073704,111.2683438,129.2672936,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,61.8
2017,1,4.49e-4,263.3062201,142.9545419,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,56.8
2018,1.279202279,0.013570695,248.4591643,165.0270917,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,44.3
2019,1.438643371,0.010449736,399.6112025,119.6815736,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,53.2
2020,1.339434276,0.006454565,355.484193,205.6524706,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,NA
2015,1.04,0.009898892,302.52,144.3146961,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,50.2
2016,1.087359365,0.00821181,252.5037345,139.3650007,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,38.1
2017,1.137584326,0.048106284,956.4558439,163.5802329,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,45.3
2018,1.606001813,0.183274678,3992.956204,208.3015292,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,42.2
2019,1.346424602,0.025145514,307.3749923,132.3331598,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,35.5
2020,1.534235919,0.150307099,6803.129855,238.6706852,06007,Butte,530,4,433,45353,53930,19.615428227515764,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652,NA
2015,1.228252151,0.092221842,2230.95676,123.9328143,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,48
2016,1.1875,0.010230294,261.8125,129.3557817,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,45.3
2017,1.169042095,0.003782451,196.6904209,140.3407763,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,55.1
2018,1.088669111,0.014704795,229.0743883,162.5876393,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,52.3
2019,1,0.005768331,151.1173658,112.5360609,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,58.4
2020,1.130007283,0.017213473,242.078842,208.382432,06009,Calaveras,31,1,39,10366,14134,12.428289905846288,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952,NA
2015,1.106243963,0.059297899,1002.70257,145.2278806,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,41.4
2016,1.057865774,0.019795164,187.9647416,137.0305551,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,29.6
2017,1.169270907,0.039600436,382.8382795,162.0588555,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,28.4
2018,1.841436896,0.145117747,3836.471065,243.085131,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,53.6
2019,1.156090333,0.043958808,347.1468552,132.7542446,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,45.4
2020,1.674155076,0.033705796,218.0754143,213.6477386,06011,Colusa,0,0,9,2976,3896,13.662004127493692,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986,NA
2015,1,0.007109944,190.676979,134.6328348,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,65.2
2016,1,0.001835711,73.08546256,138.5318143,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,56.8
2017,1.222222222,0.003711856,128.5,149.1390552,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,62.6
2018,1,0.002886999,66.14285714,173.556011,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,55.4
2019,1.073998839,0.005573445,107.275682,131.6729205,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,54.2
2020,1.159591113,0.015505694,1343.581725,197.8556301,06013,Contra Costa,1456,8,3435,78357,204773,9.467169932344987,1150215,15.774702990310509,11.801880517990115,54.98658946370896,45.01341053629104,NA
2015,2.090231353,0.056456768,624.892497,196.7731364,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,53
2016,1,1.36e-4,209,144.2355434,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,71.1
2017,2.103031461,0.03885458,1030.444865,261.7958101,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,61.2
2018,2.006673665,0.014138576,392.6432326,223.5899957,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,53.6
2019,1,5.41e-4,148,142.247726,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,48.9
2020,1.663238773,0.045258075,1431.353456,225.9913553,06015,Del Norte,49,1,32,5237,6650,20.28030578813251,27828,18.032197786402183,11.567485985338507,35.30257294810982,64.69742705189017,NA
