year,mean_days,burned_ratio,mean_intensity,mean_aerosol,upd_geoid
2013,1.027027027,0.001198451,798.6486486,147.6189015,06027
2014,0,0,0,142.0427773,06027
2015,0,0,0,155.0386671,06027
2016,1.105263158,0.001230842,640.0614035,146.3979014,06027
2017,1,6.48e-5,136,146.6653218,06027
2018,1.053571429,0.001813872,2046.678571,155.1339391,06027
2019,1.401869159,0.003465791,1547.628816,144.6339426,06027
2020,1.126315789,0.006154209,10702.58684,180.3263413,06027
2010,1.084148823,0.006573437,613.4929634,158.2264637,06029
2011,1.06741006,0.013251008,857.4703864,159.878211,06029
2012,1.019002906,0.008546551,1172.728435,145.8938626,06029
2013,1.092164233,0.004405432,365.9019445,154.1145259,06029
2014,1.338468345,0.007876692,1533.719959,154.7497397,06029
2015,1.145016824,0.006719606,281.545033,162.9369261,06029
2016,1.384231354,0.022612472,2565.859215,169.3863638,06029
2017,1.158264759,0.014879718,575.0302833,164.613725,06029
2018,1.16260681,0.009987854,470.198201,166.1227562,06029
2019,1.117156734,0.007277848,274.2759036,153.7335642,06029
2020,1.301571211,0.012251872,1530.344029,198.2387663,06029
2010,1.114761476,0.004155838,96.81908191,167.5008808,06031
2011,1.067639257,0.003525542,153.8302387,166.9250641,06031
2012,1.062607415,0.00761779,302.6232507,152.9262357,06031
2013,1,0.002502481,108.4869208,163.3787592,06031
2014,1.208295142,0.008162052,251.8383173,166.4061052,06031
2015,1.002035831,0.004593492,271.338966,175.6145161,06031
2016,1.517859276,0.015656401,389.5168439,178.7995228,06031
2017,1.345665741,0.031317477,829.3873038,177.1846822,06031
2018,1.002165881,0.007340048,161.8686457,176.8088451,06031
2019,1.166856399,0.005750281,195.1093674,156.9876267,06031
2020,1,0.004514004,156.7064429,224.9987042,06031
2010,1,0.001966395,124.0253984,113.6472722,06033
2011,1,0.001248582,306.2,112.8015713,06033
2012,1.116794667,0.013516028,590.7545283,117.3781065,06033
2013,1.043478261,0.005743479,1158,99.67971621,06033
2014,1.079954013,0.009369755,452.0876359,108.179133,06033
2015,1.319457789,0.093771973,1962.56813,118.8057404,06033
2016,1.254152824,0.023581072,1675.528239,110.8557146,06033
2017,1.239130435,0.011486959,207.0217391,140.7164268,06033
2018,1.79980692,0.415895483,3148.08575,196.606592,06033
2019,1.318715577,0.009423615,334.1924729,117.0862134,06033
2020,2.199236321,0.104900515,661.2972696,184.3857448,06033
2010,1.080359957,0.007859571,1647.798978,133.1407944,06035
2011,1.154701719,0.002721774,306.528817,140.3211801,06035
2012,1.189140697,0.05445145,1626.21125,153.7099211,06035
2013,1.071428571,0.001964961,307.5357143,138.3897855,06035
2014,1.130758516,0.010866457,1874.708636,141.9512834,06035
2015,1.173792955,0.007672156,3910.68663,161.6919726,06035
2016,1.015278711,0.004917357,768.3646743,144.5369373,06035
2017,1.035232073,0.009967088,1395.124458,155.3729922,06035
2018,1.452054795,0.010245871,1618.698059,195.9304447,06035
2019,1.044819404,0.003131554,484.9400211,129.5685247,06035
2020,1.387845165,0.046084677,1315.87677,183.9895683,06035
2010,1,0.007972153,3739.061404,151.0013022,06037
2011,1,0.002147298,2249.002299,157.1796923,06037
2012,1.392385585,0.005524836,530.9772163,147.9233166,06037
2013,1.175747597,0.014324645,4592.077651,151.4032652,06037
2014,1.078431373,0.003566489,398.1372549,143.7929528,06037
2015,1,0.001678348,1374.25,144.9107396,06037
2016,1.472067039,0.025035356,6768.625,158.2426914,06037
2017,1.190184049,0.01139878,1149.960123,149.9302262,06037
2018,1.083881079,0.02257186,3624.408122,151.3102047,06037
2019,1.030819434,0.009076242,798.8088289,144.8967528,06037
2020,2.23928054,0.063031014,2287.064959,174.1835865,06037
2010,1.096673071,0.005975201,204.1964304,139.5843295,06039
2011,1.130022435,0.011850101,212.2584387,152.9486236,06039
2012,1.060297943,0.005110552,140.6473753,132.4159159,06039
2013,1.252906076,0.015593892,262.3910706,156.2380425,06039
2014,1.417561773,0.027338857,483.0729236,138.6907595,06039
2015,1.27756845,0.036081418,1033.24634,162.8408812,06039
2016,1.110272977,0.019544932,260.2960244,150.7822564,06039
2017,1.582848237,0.051018515,474.6015414,168.7375477,06039
2018,2.112303779,0.043572021,454.9774824,190.7867998,06039
2019,1.020085066,0.015342533,226.023275,130.7970282,06039
2020,2.848641182,0.16903856,1856.557616,295.2993875,06039
2010,1,1.9e-4,329,162.9007088,06041
2011,0,0,0,148.4855687,06041
2012,1,2.61e-4,89,141.4986939,06041
2013,0,0,0,128.3088513,06041
2014,1,8.01e-4,554,143.977798,06041
2015,0,0,0,136.8186171,06041
2016,1,4e-4,96,137.8179816,06041
2017,0,0,0,173.547074,06041
2018,1,0.001601897,114,180.4260918,06041
2019,0,0,0,146.5491962,06041
2020,1.944444444,0.007208537,491.1805556,166.2849818,06041
2010,1,4.53e-4,111,133.0372282,06043
2011,1.548380252,0.012568843,322.6901053,146.9068849,06043
2012,2.333333333,0.003400469,91.55396825,126.1624054,06043
2013,2.255844782,0.022131049,609.5684784,154.9139227,06043
2014,1.30315706,0.020190337,629.5440646,129.5828958,06043
2015,1.266666667,0.003400469,431,147.1850354,06043
2016,1.80055788,0.002549685,285.9249477,145.0675155,06043
2017,1.707989277,0.131184297,1848.119424,174.8461907,06043
2018,2.991529604,0.147550107,866.7863161,208.3724898,06043
2019,1.557188065,0.011798959,839.8516991,130.2543844,06043
2020,3.437796209,0.016750752,855.5311225,267.7747447,06043
2010,1.153614458,0.001114593,108.9200301,133.6249378,06045
2011,1.258064516,0.002653873,268.9193548,126.4548504,06045
2012,1.945044177,0.020898617,850.8463936,136.5452948,06045
2013,1.212804006,0.002816026,151.1881259,117.0697476,06045
2014,1.340425532,0.004023613,258.2659574,134.6905128,06045
2015,1,0.001027306,118.25,138.1911646,06045
2016,1.3,8.56e-4,128.05,126.1175897,06045
2017,1.226950355,0.01207084,827.2411348,164.6231794,06045
2018,1.220292578,0.012507277,780.4642509,178.7320492,06045
2019,1.118424272,0.005488363,504.9292574,130.106608,06045
2020,2.444986157,0.090253489,4017.623179,203.1946057,06045
2010,1.045454545,0.011057092,339.8712121,151.5909191,06047
2011,1,0.009698443,255.5699092,159.0826447,06047
2012,1.022222222,0.007538926,110.1555556,137.3308956,06047
2013,1.067003876,0.010001314,179.0505814,143.2128246,06047
2014,1.047987165,0.009008607,393.8545435,142.8915118,06047
2015,1,0.009354839,342.193272,156.8485481,06047
2016,1.094700214,0.012272518,294.874197,163.7977168,06047
2017,1.189948893,0.02468169,375.2749303,168.4449827,06047
