GEOID,mean,year
6087,0,2017
6097,1.559879169,2017
6077,1.131249094,2017
6095,1.210172872,2017
6031,1.345665741,2017
6107,1.958676003,2017
6059,1.037277977,2017
6037,1.190184049,2017
6013,1.222222222,2017
6001,1,2017
6075,0,2017
6081,1,2017
6041,0,2017
6091,1,2018
6009,1.088669111,2018
6043,2.991529604,2018
6105,2.16276035,2018
6027,1.053571429,2018
6051,1.037282519,2018
6003,2.948770165,2018
6011,1.841436896,2018
6049,1.715499878,2018
6005,1.279202279,2018
6063,1.231000785,2018
6093,2.058661974,2018
6021,2.208770364,2018
6029,1.16260681,2018
6007,1.606001813,2018
6033,1.79980692,2018
6015,2.006673665,2018
6025,1.117544021,2018
6023,1.377250123,2018
6053,1.059724564,2018
6073,1.089469297,2018
6079,1,2018
6083,1.094339623,2018
6109,2.085025359,2018
6035,1.452054795,2018
6045,1.220292578,2018
6019,1.17059198,2018
6039,2.112303779,2018
6111,1.128735182,2018
6071,1.414095486,2018
6065,1.498558903,2018
6047,1.046634967,2018
6099,1.116106402,2018
6103,1.217305197,2018
6089,2.299192505,2018
6067,1.137103336,2018
6061,1.208379764,2018
6017,1.083644952,2018
6113,1.454527596,2018
6057,1,2018
6115,1.198483023,2018
6101,1.233433116,2018
6055,1.168212928,2018
6069,1.166051661,2018
6085,1,2018
6087,1,2018
6097,1,2018
6077,1.153177696,2018
6095,1.023479582,2018
6031,1.002165881,2018
6107,1.534684088,2018
6059,1.900283039,2018
6037,1.083881079,2018
6013,1,2018
6001,1,2018
6075,0,2018
6081,0,2018
6041,1,2018
6091,1,2019
6009,1,2019
6043,1.557188065,2019
6105,1.5325179,2019
6027,1.401869159,2019
6051,2.432432432,2019
6003,1.038753159,2019
6011,1.156090333,2019
6049,1.05267942,2019
6005,1.438643371,2019
6063,1.738403386,2019
6093,1.17385286,2019
6021,1.38441772,2019
6029,1.117156734,2019
6007,1.346424602,2019
6033,1.318715577,2019
6015,1,2019
6025,1.037037037,2019
6023,1,2019
6053,1.155917727,2019
6073,1.142511177,2019
6079,1.090964684,2019
6083,1.026315789,2019
6109,1.135099587,2019
6035,1.044819404,2019
6045,1.118424272,2019
6019,1.119441178,2019
6039,1.020085066,2019
6111,1,2019
6071,1.273551785,2019
6065,1.19716141,2019
6047,1.097325149,2019
6099,1.008466979,2019
6103,1.580068604,2019
6089,1.067146493,2019
6067,1,2019
6061,1.161290323,2019
6017,1.919308138,2019
6113,1.044278521,2019
6057,1,2019
6115,1.222241029,2019
6101,1.296193342,2019
6055,1.729446064,2019
6069,1.10312886,2019
6085,1,2019
6087,0,2019
6097,1.441744374,2019
6077,1.119604371,2019
6095,1.095238095,2019
6031,1.166856399,2019
6107,1.312147878,2019
6059,1,2019
6037,1.030819434,2019
6013,1.073998839,2019
6001,1.05894021,2019
6075,0,2019
6081,0,2019
6041,0,2019
6091,1.288624788,2020
6009,1.130007283,2020
6043,3.437796209,2020
6105,2.486872656,2020
6027,1.126315789,2020
6051,1.574632903,2020
6003,3.559836427,2020
6011,1.674155076,2020
6049,1.387246985,2020
6005,1.339434276,2020
6063,2.633621323,2020
6093,1.91233329,2020
6021,2.291782995,2020
6029,1.301571211,2020
6007,1.534235919,2020
6033,2.199236321,2020
6015,1.663238773,2020
6025,1.517665831,2020
6023,3.450250468,2020
6053,1.781335416,2020
6073,1.052774544,2020
6079,1.048678057,2020
6083,1,2020
6109,1.735274183,2020
6035,1.387845165,2020
6045,2.444986157,2020
6019,2.392753696,2020
6039,2.848641182,2020
6111,1.141264455,2020
6071,1.861928141,2020
6065,1.217702363,2020
6047,1.159965413,2020
6099,1.391751709,2020
6103,2.861441921,2020
6089,1.19269014,2020
6067,1.058152794,2020
6061,1.328565494,2020
6017,1.179691679,2020
6113,1.260682134,2020
6057,1,2020
6115,1.36729603,2020
6101,1.210091213,2020
6055,1.439065218,2020
6069,1,2020
6085,1.470676079,2020
6087,1.28837128,2020
6097,1.209057299,2020
6077,1.336264338,2020
6095,1.04462972,2020
6031,1,2020
6107,2.756959518,2020
6059,1.162969925,2020
6037,2.23928054,2020
6013,1.159591113,2020
6001,2.117226442,2020
6075,1,2020
6081,1.643684014,2020
6041,1.944444444,2020
